Date,Recorded at,Scheduled for,Amount,Activity,Pending,Raw description,Description,Category folder,Category,Street address,City,State,Zip,Latitude,Longitude,Memo
2015/08/13,2015-08-13 01:06:19 PM -0700,,-14.00,Signature purchase,false,PETTYJOHNS LIQUOR & WI,Pettyjohns Liquor & Win,Food & Drink,Alcohol & Bars,,Boulder,CO,,40.03402,-105.30482,
2015/08/13,2015-08-13 01:15:25 PM -0700,,-25.00,C2c,false,Instant Transfer,Lover,Financial,Money Transfer,,,,,,,
2015/08/14,2015-08-14 11:54:40 AM -0700,,-4.10,Pin purchase,false,KING SOOPERS,King Soopers,Food & Drink,Groceries,,Boulder,CO,,40.03402,-105.30482,
2015/08/17,2015-08-16 06:44:29 PM -0700,,-1.84,Signature purchase,false,BOULDER BEER & LIQUOR,Boulder Beer & Liquor Emp,Food & Drink,Alcohol & Bars,,Boulder,CO,,40.03402,-105.30482,
2015/08/17,2015-08-17 09:21:50 AM -0700,,-5.43,Signature purchase,false,NOT-REQUIRED,Not Required,Utilities,Phone,,Bill.ms.net,NV,,,,
2015/08/18,2015-08-18 03:36:37 AM -0700,,2350.00,ACH,false,FIA CS,Fia Cs,Income,Other,,,,,,,
2015/08/19,2015-08-18 07:26:49 PM -0700,,-5.01,Signature purchase,false,PETTYJOHNS LIQUOR & WI,Pettyjohns Liquor & Win,Food & Drink,Alcohol & Bars,,Boulder,CO,,40.03402,-105.30482,
2015/08/18,2015-08-18 08:57:32 AM -0700,,-2350.00,ACH,false,Settlement transfer,Transfer to E TRADE BANK,Financial,Money Transfer,,,,,,,
2015/08/20,2015-08-19 05:00:09 PM -0700,,-5.20,Signature purchase,false,BROADWAY WINE & SPIRIT,Broadway Wine & Spirit,Food & Drink,Alcohol & Bars,,Boulder,CO,,40.03402,-105.30482,
2015/08/21,2015-08-21 04:16:25 AM -0700,,420.00,ACH,false,LIVINGSOCIAL,Livingsocial,Income,Other,,,,,,,
2015/08/22,2015-08-21 05:52:36 PM -0700,,-38.63,Signature purchase,false,PEI WEI #0104      Q02,Pei Wei Asian Diner,Food & Drink,Fast Food,,Boulder,CO,,40.03402,-105.30482,
2015/08/22,2015-08-21 07:43:31 PM -0700,,-9.50,Signature purchase,false,PETTYJOHNS LIQUOR & WI,Pettyjohns Liquor & Win,Food & Drink,Alcohol & Bars,,Boulder,CO,,40.03402,-105.30482,
2015/08/22,2015-08-22 02:16:19 PM -0700,,-3.66,Signature purchase,false,ELDORADO WINE & SPIRIT,Eldorado Wine & Spirits,Food & Drink,Alcohol & Bars,,Boulder,CO,,40.03402,-105.30482,
2015/08/22,2015-08-22 03:24:52 PM -0700,,-2.71,Signature purchase,false,TACO BELL 000300031948,Taco Bell,Food & Drink,Fast Food,,Boulder,CO,,40.03402,-105.30482,
2015/08/22,2015-08-22 03:25:37 PM -0700,,-15.26,Signature purchase,false,TACO BELL 000300031948,Taco Bell,Food & Drink,Fast Food,,Boulder,CO,,40.03402,-105.30482,
2015/08/22,2015-08-22 04:35:05 PM -0700,,-7.27,Signature purchase,false,BOULDER BEER & LIQUOR,Boulder Beer & Liquor Emp,Food & Drink,Alcohol & Bars,,Boulder,CO,,40.03402,-105.30482,
2015/08/24,2015-08-23 07:58:45 PM -0700,,-10.11,Signature purchase,false,BOULDER BEER & LIQUOR,Boulder Beer & Liquor Emp,Food & Drink,Alcohol & Bars,,Boulder,CO,,40.03402,-105.30482,
2015/08/24,2015-08-23 08:23:09 PM -0700,,-100.87,Pin purchase,false,KING SOOPERS,King Soopers,Food & Drink,Groceries,,Boulder,CO,,40.03402,-105.30482,
2015/08/23,2015-08-23 12:03:56 AM -0700,,-18.00,Signature purchase,false,DSC*DOLLAR SHAVE CLUB,Dollar Shave Club,Uncategorized,Unknown,,,CA,,,,
2015/08/24,2015-08-24 02:34:32 PM -0700,,-4.85,Signature purchase,false,STARBUCKS #05548 BOULD,Starbucks,Food & Drink,Coffee & Tea,,Boulder,CO,,40.03402,-105.30482,
2015/08/27,2015-08-26 05:38:10 PM -0700,,-27.67,Signature purchase,false,WAHOO'S FISH TACOS 103,Wahoo's Fish Tacos,Food & Drink,Restaurants,,Boulder,CO,,40.03402,-105.30482,
2015/08/27,2015-08-26 06:06:48 PM -0700,,-6.00,Signature purchase,false,WAHOO'S FISH TACOS 103,Wahoo's Fish Tacos,Food & Drink,Restaurants,,Boulder,CO,,40.03402,-105.30482,
2015/08/28,2015-08-27 05:18:35 PM -0700,,-100.00,Pin purchase,false,COSTCO WHSE #0480,Costco Whse,Uncategorized,Other Shopping,,Superior,CO,,39.93119,-105.15909,
2015/08/27,2015-08-27 05:36:21 AM -0700,,-18.32,Signature purchase,false,SQ *CAFFE SOLE,Caffe Sole,Food & Drink,Restaurants,,Boulder,CO,,40.03402,-105.30482,
2015/08/28,2015-08-27 05:37:57 PM -0700,,-5.66,Signature purchase,false,ELDORADO WINE & SPIRIT,Eldorado Wine & Spirits,Food & Drink,Alcohol & Bars,,Boulder,CO,,40.03402,-105.30482,
2015/08/29,2015-08-28 05:46:29 PM -0700,,-9.50,Signature purchase,false,PETTYJOHNS LIQUOR & WI,Pettyjohns Liquor & Win,Food & Drink,Alcohol & Bars,,Boulder,CO,,40.03402,-105.30482,
2015/08/29,2015-08-28 07:17:55 PM -0700,,-25.48,Signature purchase,false,FREDDYS FROZEN CUSTARD,Freddys Frozen Custard Ic,Food & Drink,Fast Food,,Broomfield,CO,,39.98882,-105.15441,
2015/08/29,2015-08-28 07:52:56 PM -0700,,-13.92,Signature purchase,false,FREDDYS FROZEN CUSTARD,Freddys Frozen Custard Ic,Food & Drink,Fast Food,,Broomfield,CO,,39.98882,-105.15441,
2015/08/29,2015-08-29 04:34:48 PM -0700,,-9.79,Signature purchase,false,BROADWAY WINE & SPIRIT,Broadway Wine & Spirit,Food & Drink,Alcohol & Bars,,Boulder,CO,,40.03402,-105.30482,
2015/09/04,2015-09-04 03:46:28 AM -0700,,420.00,ACH,false,LIVINGSOCIAL,Livingsocial,Income,Other,,,,,,,
2015/09/05,2015-09-04 05:54:02 PM -0700,,-35.26,Signature purchase,false,PEI WEI #0104      Q02,Pei Wei Asian Diner,Food & Drink,Fast Food,,Boulder,CO,,40.03402,-105.30482,
2015/09/05,2015-09-04 07:06:51 PM -0700,,-2.81,Signature purchase,false,WENDY'S #306,Wendy's,Food & Drink,Fast Food,,Boulder,CO,,40.03402,-105.30482,
2015/09/05,2015-09-05 01:54:12 PM -0700,,-12.00,Signature purchase,false,SLOT CAR SPEEDWAY,Slot Car Speedway,Business,Services,,Longmont,CO,,40.12752,-105.23772,
2015/09/05,2015-09-05 02:02:49 PM -0700,,-8.06,Signature purchase,false,DAIRY QUEEN #13393,Zieglin Inc,Food & Drink,Fast Food,,Longmont,CO,,40.12752,-105.23772,
2015/09/06,2015-09-05 05:31:49 PM -0700,,-120.00,Pin purchase,false,COSTCO WHSE #0480,Costco Whse,Uncategorized,Other Shopping,,Superior,CO,,39.93119,-105.15909,
2015/09/07,2015-09-07 01:27:30 PM -0700,,-7.71,Signature purchase,false,TACO BELL 000300031948,Taco Bell,Food & Drink,Fast Food,,Boulder,CO,,40.03402,-105.30482,
2015/09/07,2015-09-07 01:59:33 PM -0700,,-28.65,Pin purchase,false,KING SOOPERS,King Soopers,Food & Drink,Groceries,,Boulder,CO,,40.03402,-105.30482,
2015/09/09,2015-09-09 02:45:18 PM -0700,,-4.34,Signature purchase,false,MICROSOFT   *XBOX,Microsoft Xbox,Utilities,Phone,,Bill.xbox.com,NV,,,,
2015/09/09,2015-09-09 02:46:08 PM -0700,,-4.34,Signature purchase,false,MICROSOFT   *,Microsoft,Utilities,Phone,,866Msbill1,WA,,,,
2015/09/10,2015-09-10 03:56:37 PM -0700,,-3.25,Signature purchase,false,MICROSOFT   *XBOX,Microsoft Xbox,Utilities,Phone,,Bill.xbox.com,NV,,,,
2015/09/12,2015-09-12 01:59:22 PM -0700,,-18.42,Signature purchase,false,TACO BELL 000300031948,Taco Bell,Food & Drink,Fast Food,,Boulder,CO,,40.03402,-105.30482,
2015/09/12,2015-09-12 08:36:35 AM -0700,,-2.17,Signature purchase,false,MICROSOFT   *,Microsoft,Utilities,Phone,,866Msbill1,WA,,,,
2015/09/12,2015-09-12 08:59:28 AM -0700,,-16.32,Signature purchase,false,MICROSOFT   *XBOX,Microsoft Xbox,Utilities,Phone,,Bill.xbox.com,NV,,,,
2015/09/13,2015-09-13 02:34:37 PM -0700,,-27.69,Pin purchase,false,TARGET T-0064,Target T,Food & Drink,Groceries,,Boulder,CO,,40.03402,-105.30482,
2015/09/14,2015-09-13 05:18:44 PM -0700,,-75.00,Pin purchase,false,COSTCO WHSE #0480,Costco Whse,Uncategorized,Other Shopping,,Superior,CO,,39.93119,-105.15909,
2015/09/14,2015-09-14 11:05:11 AM -0700,,-28.00,Signature purchase,false,CO STATE PARKS RSVTNS,Co State Parks Rsvtns,Uncategorized,Unknown,,Littleton,CO,,39.57572,-104.85368,
2015/09/15,2015-09-15 07:40:11 AM -0700,,-9.96,Pin purchase,false,KING SOOPERS,King Soopers,Transportation,Gas,,Boulder,CO,,40.03402,-105.30482,
2015/09/18,2015-09-18 03:41:49 AM -0700,,420.00,ACH,false,LIVINGSOCIAL,Livingsocial,Income,Other,,,,,,,
2015/09/19,2015-09-18 05:59:46 PM -0700,,-24.92,Signature purchase,false,PEI WEI #0104      Q02,Pei Wei Asian Diner,Food & Drink,Fast Food,,Boulder,CO,,40.03402,-105.30482,
2015/09/19,2015-09-18 06:58:09 PM -0700,,-3.90,Signature purchase,false,WENDY'S #306,Wendy's,Food & Drink,Fast Food,,Boulder,CO,,40.03402,-105.30482,
2015/09/19,2015-09-18 11:03:15 PM -0700,,-25.95,Signature purchase,false,MSFT   *XBOX LIVE,Xbox Live,Utilities,Phone,,,WA,,,,
2015/09/19,2015-09-19 12:22:40 AM -0700,,-3.00,Signature purchase,false,DSC*DOLLAR SHAVE CLUB,Dollar Shave Club,Uncategorized,Unknown,,,CA,,,,
2015/09/20,2015-09-20 12:17:09 PM -0700,,-95.89,Pin purchase,false,COSTCO WHSE #0480,Costco Whse,Uncategorized,Other Shopping,,Superior,CO,,39.93119,-105.15909,
2015/09/22,2015-09-21 05:17:29 PM -0700,,-21.86,Pin purchase,false,KING SOOPERS,King Soopers,Food & Drink,Groceries,,Boulder,CO,,40.03402,-105.30482,
2015/09/26,2015-09-25 05:46:02 PM -0700,,-3.25,Signature purchase,false,MICROSOFT   *XBOX,Microsoft Xbox,Utilities,Phone,,Bill.xbox.com,NV,,,,
2015/09/30,2015-09-29 05:56:56 PM -0700,,-21.25,Signature purchase,false,CHIPOTLE 0011,Chipotle Mexican Grill,Food & Drink,Fast Food,,Boulder,CO,,40.03402,-105.30482,
2015/10/01,2015-10-01 04:50:53 AM -0700,,0.01,ACH,false,INTEREST_CREDIT,Interest Credit,Income,Interest,,,,,,,
2015/10/02,2015-10-01 05:03:15 PM -0700,,-120.67,Pin purchase,false,KING SOOPERS,King Soopers,Food & Drink,Groceries,,Boulder,CO,,40.03402,-105.30482,
2015/10/02,2015-10-01 06:00:41 PM -0700,,-3.25,Signature purchase,false,MICROSOFT   *,Microsoft,Utilities,Phone,,Bill.ms.net,WA,,,,
2015/10/01,2015-10-01 12:44:32 PM -0700,,-10.04,Signature purchase,false,WOODY CREEK BAKERY & C,Woody Creek Boulder,Food & Drink,Restaurants,,Boulder,CO,,40.03402,-105.30482,
